iter	Passed	Remaining
609	1472	941
610	1474	938
611	1475	935
612	1477	932
613	1478	929
614	1480	926
615	1483	924
616	1485	921
617	1486	918
618	1488	915
619	1489	912
620	1490	909
621	1492	906
622	1493	903
623	1497	902
624	1500	900
625	1502	897
626	1504	895
627	1506	892
628	1508	889
629	1515	889
630	1517	887
631	1519	884
632	1521	882
633	1524	879
634	1526	877
635	1528	874
636	1530	871
637	1532	869
638	1537	868
639	1539	865
640	1542	863
641	1544	861
642	1546	858
643	1552	858
644	1554	855
645	1557	853
646	1559	850
647	1561	848
648	1563	845
649	1568	844
650	1570	842
651	1573	839
652	1575	837
653	1576	834
654	1579	831
655	1584	831
656	1586	828
657	1588	825
658	1590	823
659	1593	820
660	1594	817
661	1598	816
662	1600	813
663	1601	810
664	1603	807
665	1604	804
666	1606	801
667	1607	798
668	1608	795
669	1611	793
670	1613	791
671	1615	788
672	1616	785
673	1618	782
674	1619	779
675	1620	776
676	1622	773
677	1623	771
678	1627	769
679	1628	766
680	1630	763
681	1631	760
682	1632	757
683	1633	754
684	1635	751
685	1636	748
686	1637	746
687	1638	743
688	1641	741
689	1643	738
690	1644	735
691	1645	732
692	1647	729
693	1648	726
694	1649	723
695	1650	721
696	1651	718
697	1653	715
698	1656	713
699	1657	710
700	1659	707
701	1661	705
702	1663	702
703	1664	699
704	1665	696
705	1666	694
706	1667	691
707	1670	689
708	1672	686
709	1673	683
710	1674	680
711	1676	677
712	1677	675
713	1678	672
714	1679	669
715	1680	666
716	1681	663
717	1683	661
718	1685	658
719	1687	656
720	1688	653
721	1689	650
722	1690	647
723	1691	645
724	1693	642
725	1694	639
726	1695	636
727	1696	633
728	1697	631
729	1700	629
730	1701	626
731	1703	623
732	1704	620
733	1705	618
734	1706	615
735	1707	612
736	1708	609
737	1710	607
738	1712	604
739	1715	602
740	1717	600
741	1718	597
742	1719	594
743	1721	592
744	1722	589
745	1723	586
746	1725	584
747	1726	581
748	1729	579
749	1731	577
750	1732	574
751	1734	571
752	1735	569
753	1737	566
754	1738	564
755	1739	561
756	1741	558
757	1744	556
758	1746	554
759	1747	551
760	1749	549
